VALIDAÇÃO SE EXISTE ESTOQUE NA FILIAL 76 NO DIA DA VENDA;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
ds_tp_venda_ecom;dt_venda;cd_prod_cor;sg_tamanho;Indicador_Estoque;CHAVE;confere;existe na base?
omnichannel;25/09/2024 00:00;PO.10.0283|592/021;M;1;45560PO.10.0283|592/021M;5;PO.10.0283|592/021
omnichannel;25/09/2024 00:00;SH.04.0028|021;M;0;45560SH.04.0028|021M;-;nao existe na base
omnichannel;25/09/2024 00:00;SH.04.0029|129;M;1;45560SH.04.0029|129M;3;SH.04.0029|129
omnichannel;25/09/2024 00:00;SH.04.0029|139;M;0;45560SH.04.0029|139M;-;nao existe na base
omnichannel;25/09/2024 00:00;UW.01.0046|007;M;0;45560UW.01.0046|007M;-;nao existe na base
omnichannel;25/09/2024 00:00;CL.38.0041|046;P;0;45560CL.38.0041|046P;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.01.3686|061;P;1;45560CS.01.3686|061P;7;CS.01.3686|061
omnichannel;25/09/2024 00:00;CS.02.0191|010;P;0;45560CS.02.0191|010P;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0089|007;P;1;45560CS.12.0089|007P;16;CS.12.0089|007
omnichannel;25/09/2024 00:00;CS.12.0089|010;P;0;45560CS.12.0089|010P;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0227|001;P;1;45560CS.12.0227|001P;26;CS.12.0227|001
omnichannel;25/09/2024 00:00;CS.12.0227|010;P;1;45560CS.12.0227|010P;11;CS.12.0227|010
omnichannel;25/09/2024 00:00;CS.12.0227|061;P;1;45560CS.12.0227|061P;28;CS.12.0227|061
omnichannel;25/09/2024 00:00;CS.12.0309|010;P;1;45560CS.12.0309|010P;5;CS.12.0309|010
omnichannel;25/09/2024 00:00;CS.12.0433|129;P;1;45560CS.12.0433|129P;1;CS.12.0433|129
omnichannel;25/09/2024 00:00;CS.13.0015|622;P;0;45560CS.13.0015|622P;-;nao existe na base
omnichannel;25/09/2024 00:00;MC.04.0005|001;P;0;45560MC.04.0005|001P;-;nao existe na base
omnichannel;25/09/2024 00:00;MC.05.0190|006;P;0;45560MC.05.0190|006P;-;nao existe na base
omnichannel;25/09/2024 00:00;MC.06.0163|007;P;1;45560MC.06.0163|007P;5;MC.06.0163|007
omnichannel;25/09/2024 00:00;MC.06.0452|205;P;1;45560MC.06.0452|205P;9;MC.06.0452|205
omnichannel;25/09/2024 00:00;MC.06.0475|007;P;1;45560MC.06.0475|007P;3;MC.06.0475|007
omnichannel;25/09/2024 00:00;ML.01.0025|010;P;1;45560ML.01.0025|010P;23;ML.01.0025|010
omnichannel;25/09/2024 00:00;ML.01.0076|001;P;0;45560ML.01.0076|001P;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0331|001;P;1;45560ML.02.0331|001P;27;ML.02.0331|001
omnichannel;25/09/2024 00:00;ML.02.0331|148;P;1;45560ML.02.0331|148P;30;ML.02.0331|148
omnichannel;25/09/2024 00:00;ML.02.0485|001/007;P;1;45560ML.02.0485|001/007P;18;ML.02.0485|001/007
omnichannel;25/09/2024 00:00;ML.02.0485|001/148;P;1;45560ML.02.0485|001/148P;15;ML.02.0485|001/148
omnichannel;25/09/2024 00:00;ML.02.0486|005;P;1;45560ML.02.0486|005P;9;ML.02.0486|005
omnichannel;25/09/2024 00:00;ML.02.0512|004;P;1;45560ML.02.0512|004P;6;ML.02.0512|004
omnichannel;25/09/2024 00:00;ML.02.0679|139;P;1;45560ML.02.0679|139P;5;ML.02.0679|139
omnichannel;25/09/2024 00:00;ML.02.0699|001/139;P;0;45560ML.02.0699|001/139P;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0755|007;P;1;45560ML.02.0755|007P;14;ML.02.0755|007
omnichannel;25/09/2024 00:00;ML.02.0838|001;P;1;45560ML.02.0838|001P;15;ML.02.0838|001
omnichannel;25/09/2024 00:00;ML.02.0838|007;P;1;45560ML.02.0838|007P;24;ML.02.0838|007
omnichannel;25/09/2024 00:00;ML.02.0938|006;P;1;45560ML.02.0938|006P;13;ML.02.0938|006
omnichannel;25/09/2024 00:00;ML.02.0938|010;P;1;45560ML.02.0938|010P;29;ML.02.0938|010
omnichannel;25/09/2024 00:00;ML.02.0938|148;P;1;45560ML.02.0938|148P;20;ML.02.0938|148
omnichannel;25/09/2024 00:00;ML.05.0177|552;P;0;45560ML.05.0177|552P;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0186|129;P;0;45560ML.05.0186|129P;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.05.0257|010;P;1;45560ML.05.0257|010P;6;ML.05.0257|010
omnichannel;25/09/2024 00:00;ML.06.0020|145;P;0;45560ML.06.0020|145P;-;nao existe na base
omnichannel;25/09/2024 00:00;MO.02.0034|043;P;1;45560MO.02.0034|043P;6;MO.02.0034|043
omnichannel;25/09/2024 00:00;PO.01.2255|007;P;1;45560PO.01.2255|007P;7;PO.01.2255|007
omnichannel;25/09/2024 00:00;PO.01.2255|031;P;0;45560PO.01.2255|031P;-12;PO.01.2255|031
omnichannel;25/09/2024 00:00;PO.01.2280|024;P;1;45560PO.01.2280|024P;3;PO.01.2280|024
omnichannel;25/09/2024 00:00;PO.01.2294|007;P;1;45560PO.01.2294|007P;8;PO.01.2294|007
omnichannel;25/09/2024 00:00;PO.10.0027|010;P;1;45560PO.10.0027|010P;12;PO.10.0027|010
omnichannel;25/09/2024 00:00;PO.10.0164|001;P;1;45560PO.10.0164|001P;15;PO.10.0164|001
omnichannel;25/09/2024 00:00;PO.10.0168|109;P;1;45560PO.10.0168|109P;3;PO.10.0168|109
omnichannel;25/09/2024 00:00;PO.10.0168|207;P;1;45560PO.10.0168|207P;5;PO.10.0168|207
omnichannel;25/09/2024 00:00;PO.10.0168|360;P;1;45560PO.10.0168|360P;2;PO.10.0168|360
omnichannel;25/09/2024 00:00;PO.10.0197|565;P;0;45560PO.10.0197|565P;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0278|007;P;1;45560PO.10.0278|007P;5;PO.10.0278|007
omnichannel;25/09/2024 00:00;PO.11.0017|570;P;1;45560PO.11.0017|570P;2;PO.11.0017|570
omnichannel;25/09/2024 00:00;TR.03.0040|021;P;0;45560TR.03.0040|021P;-;nao existe na base
omnichannel;25/09/2024 00:00;TR.04.0226|129;P;1;45560TR.04.0226|129P;3;TR.04.0226|129
omnichannel;25/09/2024 00:00;AC.07.0121|007;UN;0;45560AC.07.0121|007UN;-;nao existe na base
omnichannel;25/09/2024 00:00;AC.07.0122|007;UN;1;45560AC.07.0122|007UN;84;AC.07.0122|007
omnichannel;25/09/2024 00:00;AC.07.0122|027;UN;1;45560AC.07.0122|027UN;7;AC.07.0122|027
omnichannel;25/09/2024 00:00;AC.07.0140|007;UN;1;45560AC.07.0140|007UN;16;AC.07.0140|007
omnichannel;25/09/2024 00:00;GV.06.0353|207;UN;1;45560GV.06.0353|207UN;8;GV.06.0353|207
omnichannel;25/09/2024 00:00;GV.10.0006|003;UN;1;45560GV.10.0006|003UN;1;GV.10.0006|003
omnichannel;25/09/2024 00:00;ME.01.0103|999;UN;1;45560ME.01.0103|999UN;228;ME.01.0103|999
omnichannel;25/09/2024 00:00;ME.02.0003|007;UN;1;45560ME.02.0003|007UN;139;ME.02.0003|007
omnichannel;25/09/2024 00:00;ME.03.0002|007;UN;1;45560ME.03.0002|007UN;8;ME.03.0002|007
omnichannel;25/09/2024 00:00;ME.03.0002|999;UN;1;45560ME.03.0002|999UN;3;ME.03.0002|999
omnichannel;25/09/2024 00:00;OC.01.0029|007/001;UN;1;45560OC.01.0029|007/001UN;1;OC.01.0029|007/001
omnichannel;25/09/2024 00:00;OC.01.0033|007;UN;1;45560OC.01.0033|007UN;1;OC.01.0033|007
omnichannel;25/09/2024 00:00;CS.01.1023|007;XGG;1;45560CS.01.1023|007XGG;27;CS.01.1023|007
omnichannel;25/09/2024 00:00;CS.01.1023|061;XGG;1;45560CS.01.1023|061XGG;8;CS.01.1023|061
omnichannel;25/09/2024 00:00;CS.01.1515|001;XGG;0;45560CS.01.1515|001XGG;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0019|559;XGG;1;45560CS.12.0019|559XGG;2;CS.12.0019|559
omnichannel;25/09/2024 00:00;CS.12.0537|587;XGG;1;45560CS.12.0537|587XGG;2;CS.12.0537|587
omnichannel;25/09/2024 00:00;CS.12.0537|607;XGG;1;45560CS.12.0537|607XGG;4;CS.12.0537|607
omnichannel;25/09/2024 00:00;CS.12.0539|007;XGG;1;45560CS.12.0539|007XGG;9;CS.12.0539|007
omnichannel;25/09/2024 00:00;CS.12.0539|010;XGG;1;45560CS.12.0539|010XGG;1;CS.12.0539|010
omnichannel;25/09/2024 00:00;MC.05.0174|148;XGG;1;45560MC.05.0174|148XGG;4;MC.05.0174|148
omnichannel;25/09/2024 00:00;MC.06.0163|178;XGG;1;45560MC.06.0163|178XGG;4;MC.06.0163|178
omnichannel;25/09/2024 00:00;MC.06.0452|205;XGG;1;45560MC.06.0452|205XGG;1;MC.06.0452|205
omnichannel;25/09/2024 00:00;ML.02.0482|001/148;XGG;1;45560ML.02.0482|001/148XGG;7;ML.02.0482|001/148
omnichannel;25/09/2024 00:00;ML.02.0797|184;XGG;1;45560ML.02.0797|184XGG;1;ML.02.0797|184
omnichannel;25/09/2024 00:00;ML.02.0845|001;XGG;0;45560ML.02.0845|001XGG;-;nao existe na base
omnichannel;25/09/2024 00:00;ML.02.0938|007;XGG;1;45560ML.02.0938|007XGG;2;ML.02.0938|007
omnichannel;25/09/2024 00:00;PO.01.2255|007;XGG;1;45560PO.01.2255|007XGG;6;PO.01.2255|007
omnichannel;25/09/2024 00:00;PO.01.2280|024;XGG;1;45560PO.01.2280|024XGG;3;PO.01.2280|024
omnichannel;25/09/2024 00:00;PO.10.0257|614;XGG;0;45560PO.10.0257|614XGG;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0283|612/139;XGG;1;45560PO.10.0283|612/139XGG;4;PO.10.0283|612/139
omnichannel;25/09/2024 00:00;PO.12.0012|031/010;XGG;1;45560PO.12.0012|031/010XGG;1;PO.12.0012|031/010
omnichannel;25/09/2024 00:00;CS.01.3663|207;XXG;1;45560CS.01.3663|207XXG;1;CS.01.3663|207
omnichannel;25/09/2024 00:00;CS.01.3685|061;XXG;0;45560CS.01.3685|061XXG;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.01.3693|021;XXG;0;45560CS.01.3693|021XXG;-;nao existe na base
omnichannel;25/09/2024 00:00;CS.12.0227|007;XXG;1;45560CS.12.0227|007XXG;3;CS.12.0227|007
omnichannel;25/09/2024 00:00;CS.12.0227|061;XXG;0;45560CS.12.0227|061XXG;-;nao existe na base
omnichannel;25/09/2024 00:00;PO.10.0027|007;XXG;1;45560PO.10.0027|007XXG;1;PO.10.0027|007
omnichannel;25/09/2024 00:00;PO.10.0027|097;XXG;1;45560PO.10.0027|097XXG;16;PO.10.0027|097
omnichannel;25/09/2024 00:00;PO.10.0164|007;XXG;1;45560PO.10.0164|007XXG;5;PO.10.0164|007
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;0;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
